WKT,name,description
"POINT (123.9133834 10.3522756)",BUNZEL_A01_023,eyJpZCI6ICJyZXBsYWNlX3dpdGhfbm9kZV9pZCIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2Vfd2l0aF9nZW9tZXRyeV9wb2ludCJ9
"POINT (123.9133807 10.3522673)",BUNZEL_A01_024,eyJpZCI6ICJyZXBsYWNlX3dpdGhfbm9kZV9pZCIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2Vfd2l0aF9nZW9tZXRyeV9wb2ludCJ9
"POINT (123.9132141 10.3521662)",BUNZEL_A01_025,eyJpZCI6ICJyZXBsYWNlX3dpdGhfbm9kZV9pZCIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2Vfd2l0aF9nZW9tZXRyeV9wb2ludCJ9
"POINT (123.9132185 10.3521906)",BUNZEL_A01_026,eyJpZCI6ICJyZXBsYWNlX3dpdGhfbm9kZV9pZCIsICJidWlsZGluZ19pZCI6IC05OTksICJmbG9vcl9sZXZlbCI6IDEsICJnZW9tX3BvaW50IjogInJlcGxhY2Vfd2l0aF9nZW9tZXRyeV9wb2ludCJ9
"POINT (123.9131358 10.3521782)",BUNZEL_A01_027,eyJpZCI6ICJCVU5aRUxfQTAxXzAyNyIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9131419 10.3522089)",BUNZEL_A01_028,eyJpZCI6ICJCVU5aRUxfQTAxXzAyOCIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9130672 10.3521953)",BUNZEL_A01_029,eyJpZCI6ICJCVU5aRUxfQTAxXzAyOSIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9130733 10.3522253)",BUNZEL_A01_030,eyJpZCI6ICJCVU5aRUxfQTAxXzAzMCIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9130293 10.3522046)",BUNZEL_A01_031,eyJpZCI6ICJCVU5aRUxfQTAxXzAzMSIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9130357 10.3522343)",BUNZEL_A01_032,eyJpZCI6ICJCVU5aRUxfQTAxXzAzMiIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9129804 10.3522162)",BUNZEL_A01_033,eyJpZCI6ICJCVU5aRUxfQTAxXzAzMyIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9129871 10.3522462)",BUNZEL_A01_034,eyJpZCI6ICJCVU5aRUxfQTAxXzAzNCIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9129307 10.3522286)",BUNZEL_A01_035,eyJpZCI6ICJCVU5aRUxfQTAxXzAzNSIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9129374 10.3522579)",BUNZEL_A01_036,eyJpZCI6ICJCVU5aRUxfQTAxXzAzNiIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.912888 10.352426)",BUNZEL_A01_037,eyJpZCI6ICJCVU5aRUxfQTAxXzAzNyIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9128841 10.3524113)",BUNZEL_A01_038,eyJpZCI6ICJCVU5aRUxfQTAxXzAzOCIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9128539 10.3524182)",BUNZEL_A01_039,eyJpZCI6ICJCVU5aRUxfQTAxXzAzOSIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9128208 10.3522851)",BUNZEL_A01_040,eyJpZCI6ICJCVU5aRUxfQTAxXzA0MCIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9127529 10.3520077)",BUNZEL_A01_041,eyJpZCI6ICJCVU5aRUxfQTAxXzA0MSIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
"POINT (123.9133521 10.3518549)",BUNZEL_A01_042,eyJpZCI6ICJCVU5aRUxfQTAxXzA0MiIsICJidWlsZGluZ19pZCI6ICJyZXBsYWNlX21lIiwgImZsb29yX2xldmVsIjogMSwgImdlb21fcG9pbnQiOiAicmVwbGFjZV9tZSJ9
